,batch,instance,algo,par_Vertices,par_Layer,par_Fan,par_DicountedRate,par_PercNeg,par_CP,vertices,edges,diameter,max in degree,min in degree,mean in degree,max out degree,min out degree,mean out degree,discounted Rate,negative activities,deadline,last task Early Finish,effort,NPV,time
0,"['50', '10', '3', '20', '50']",dg1.tpf,SAA,50,10,3,20,50,1,52,119,7,3,1,2.122448979591837,3,1,2.142857142857143,0.2,50.0,104,52,1674,43.60455255828387,0.006983041763305664
1,"['50', '10', '3', '20', '50']",dg1.tpf,HS,50,10,3,20,50,1,52,119,7,3,1,2.122448979591837,3,1,2.142857142857143,0.2,50.0,104,52,1310,43.60455255828387,0.0039882659912109375
2,"['50', '10', '3', '20', '50']",dg1.tpf,RS,50,10,3,20,50,1,52,119,7,3,1,2.122448979591837,3,1,2.142857142857143,0.2,50.0,104,52,4854,43.60455255828387,0.024935483932495117
3,"['50', '10', '3', '20', '50']",dg10.tpf,SAA,50,10,3,20,50,1,52,120,8,3,1,2.0816326530612246,3,1,2.163265306122449,0.2,40.38461538461539,122,61,1400,159.96654972576803,0.00901174545288086
4,"['50', '10', '3', '20', '50']",dg10.tpf,HS,50,10,3,20,50,1,52,120,8,3,1,2.0816326530612246,3,1,2.163265306122449,0.2,40.38461538461539,122,61,769,159.96654972576803,0.005983829498291016
5,"['50', '10', '3', '20', '50']",dg10.tpf,RS,50,10,3,20,50,1,52,120,8,3,1,2.0816326530612246,3,1,2.163265306122449,0.2,40.38461538461539,122,61,2653,159.96654972576803,0.016954660415649414
6,"['50', '10', '3', '20', '50']",dg100.tpf,SAA,50,10,3,20,50,1,52,117,8,3,1,2.0408163265306123,3,1,2.142857142857143,0.2,48.07692307692308,110,55,1573,96.54748060233675,0.009972810745239258
7,"['50', '10', '3', '20', '50']",dg100.tpf,HS,50,10,3,20,50,1,52,117,8,3,1,2.0408163265306123,3,1,2.142857142857143,0.2,48.07692307692308,110,55,1208,96.54748060233675,0.003989219665527344
8,"['50', '10', '3', '20', '50']",dg100.tpf,RS,50,10,3,20,50,1,52,117,8,3,1,2.0408163265306123,3,1,2.142857142857143,0.2,48.07692307692308,110,55,10844,96.54748060233675,0.05784463882446289
9,"['50', '10', '3', '20', '50']",dg1000.tpf,SAA,50,10,3,20,50,1,52,123,8,3,1,2.163265306122449,3,1,2.2653061224489797,0.2,38.46153846153847,116,58,1360,133.57825724407485,0.008974075317382812
10,"['50', '10', '3', '20', '50']",dg1000.tpf,HS,50,10,3,20,50,1,52,123,8,3,1,2.163265306122449,3,1,2.2653061224489797,0.2,38.46153846153847,116,58,980,133.57825724407485,0.0029909610748291016
11,"['50', '10', '3', '20', '50']",dg1000.tpf,RS,50,10,3,20,50,1,52,123,8,3,1,2.163265306122449,3,1,2.2653061224489797,0.2,38.46153846153847,116,58,2793,133.57825724407485,0.017954349517822266
12,"['50', '10', '3', '20', '50']",dg101.tpf,SAA,50,10,3,20,50,1,52,117,7,3,1,2.0408163265306123,3,1,2.142857142857143,0.2,42.30769230769231,116,58,1640,54.85421597656005,0.008976936340332031
13,"['50', '10', '3', '20', '50']",dg101.tpf,HS,50,10,3,20,50,1,52,117,7,3,1,2.0408163265306123,3,1,2.142857142857143,0.2,42.30769230769231,116,58,1026,54.85421597656005,0.0039882659912109375
14,"['50', '10', '3', '20', '50']",dg101.tpf,RS,50,10,3,20,50,1,52,117,7,3,1,2.0408163265306123,3,1,2.142857142857143,0.2,42.30769230769231,116,56,3701,54.85421597656005,0.022939682006835938
15,"['50', '10', '3', '20', '50']",dg102.tpf,SAA,50,10,3,20,50,1,52,115,9,3,1,2.020408163265306,3,1,2.1020408163265305,0.2,46.15384615384615,132,66,1475,89.10720884163918,0.006978273391723633
16,"['50', '10', '3', '20', '50']",dg102.tpf,HS,50,10,3,20,50,1,52,115,9,3,1,2.020408163265306,3,1,2.1020408163265305,0.2,46.15384615384615,132,66,1004,89.10720884163918,0.004984378814697266
17,"['50', '10', '3', '20', '50']",dg102.tpf,RS,50,10,3,20,50,1,52,115,9,3,1,2.020408163265306,3,1,2.1020408163265305,0.2,46.15384615384615,132,66,5223,89.10720884163918,0.02892446517944336
18,"['50', '10', '3', '20', '50']",dg103.tpf,SAA,50,10,3,20,50,1,52,123,9,3,1,2.183673469387755,3,1,2.2857142857142856,0.2,55.769230769230774,112,56,2173,36.1768695365335,0.013962268829345703
19,"['50', '10', '3', '20', '50']",dg103.tpf,HS,50,10,3,20,50,1,52,123,9,3,1,2.183673469387755,3,1,2.2857142857142856,0.2,55.769230769230774,112,56,1680,36.1768695365335,0.00598597526550293
20,"['50', '10', '3', '20', '50']",dg103.tpf,RS,50,10,3,20,50,1,52,123,9,3,1,2.183673469387755,3,1,2.2857142857142856,0.2,55.769230769230774,112,56,8954,36.1768695365335,0.04890131950378418
21,"['50', '10', '3', '20', '50']",dg104.tpf,SAA,50,10,3,20,50,1,52,121,8,3,1,2.204081632653061,3,1,2.204081632653061,0.2,55.769230769230774,112,56,2457,34.22207674724408,0.010935783386230469
22,"['50', '10', '3', '20', '50']",dg104.tpf,HS,50,10,3,20,50,1,52,121,8,3,1,2.204081632653061,3,1,2.204081632653061,0.2,55.769230769230774,112,56,1598,34.22207674724408,0.004986763000488281
23,"['50', '10', '3', '20', '50']",dg104.tpf,RS,50,10,3,20,50,1,52,121,8,3,1,2.204081632653061,3,1,2.204081632653061,0.2,55.769230769230774,112,56,7374,34.22207674724408,0.04887056350708008
24,"['50', '10', '3', '20', '50']",dg105.tpf,SAA,50,10,3,20,50,1,52,121,8,3,1,2.1020408163265305,3,1,2.163265306122449,0.2,30.76923076923077,110,55,1230,137.49671713425303,0.005989789962768555
25,"['50', '10', '3', '20', '50']",dg105.tpf,HS,50,10,3,20,50,1,52,121,8,3,1,2.1020408163265305,3,1,2.163265306122449,0.2,30.76923076923077,110,55,754,137.49671713425303,0.0029921531677246094
26,"['50', '10', '3', '20', '50']",dg105.tpf,RS,50,10,3,20,50,1,52,121,8,3,1,2.1020408163265305,3,1,2.163265306122449,0.2,30.76923076923077,110,55,2038,137.49671713425303,0.00897359848022461
27,"['50', '10', '3', '20', '50']",dg106.tpf,SAA,50,10,3,20,50,1,52,115,8,3,1,2.1020408163265305,3,1,2.1020408163265305,0.2,46.15384615384615,110,55,1122,134.7357950532913,0.0049555301666259766
28,"['50', '10', '3', '20', '50']",dg106.tpf,HS,50,10,3,20,50,1,52,115,8,3,1,2.1020408163265305,3,1,2.1020408163265305,0.2,46.15384615384615,110,55,911,134.7357950532913,0.0029935836791992188
29,"['50', '10', '3', '20', '50']",dg106.tpf,RS,50,10,3,20,50,1,52,115,8,3,1,2.1020408163265305,3,1,2.1020408163265305,0.2,46.15384615384615,110,55,10933,134.7357950532913,0.059804439544677734
30,"['50', '10', '3', '20', '50']",dg107.tpf,SAA,50,10,3,20,50,1,52,118,8,3,1,2.1020408163265305,3,1,2.183673469387755,0.2,42.30769230769231,150,75,1379,69.41075399722536,0.0059833526611328125
31,"['50', '10', '3', '20', '50']",dg107.tpf,HS,50,10,3,20,50,1,52,118,8,3,1,2.1020408163265305,3,1,2.183673469387755,0.2,42.30769230769231,150,75,1026,69.41075399722536,0.004986286163330078
32,"['50', '10', '3', '20', '50']",dg107.tpf,RS,50,10,3,20,50,1,52,118,8,3,1,2.1020408163265305,3,1,2.183673469387755,0.2,42.30769230769231,150,75,8143,69.41075399722536,0.05189657211303711
33,"['50', '10', '3', '20', '50']",dg108.tpf,SAA,50,10,3,20,50,1,52,123,8,3,1,2.2244897959183674,3,1,2.204081632653061,0.2,38.46153846153847,130,65,1417,80.38412908905443,0.006981372833251953
34,"['50', '10', '3', '20', '50']",dg108.tpf,HS,50,10,3,20,50,1,52,123,8,3,1,2.2244897959183674,3,1,2.204081632653061,0.2,38.46153846153847,130,65,907,80.38412908905443,0.003954410552978516
35,"['50', '10', '3', '20', '50']",dg108.tpf,RS,50,10,3,20,50,1,52,123,8,3,1,2.2244897959183674,3,1,2.204081632653061,0.2,38.46153846153847,130,65,1459,80.38412752142128,0.006977558135986328
36,"['50', '10', '3', '20', '50']",dg109.tpf,SAA,50,10,3,20,50,1,52,119,7,3,1,2.122448979591837,3,1,2.142857142857143,0.2,48.07692307692308,108,54,1320,104.6685138747917,0.008016109466552734
37,"['50', '10', '3', '20', '50']",dg109.tpf,HS,50,10,3,20,50,1,52,119,7,3,1,2.122448979591837,3,1,2.142857142857143,0.2,48.07692307692308,108,54,1021,104.6685138747917,0.0029916763305664062
38,"['50', '10', '3', '20', '50']",dg109.tpf,RS,50,10,3,20,50,1,52,119,7,3,1,2.122448979591837,3,1,2.142857142857143,0.2,48.07692307692308,108,54,5322,104.6685138747917,0.02792215347290039
39,"['50', '10', '3', '20', '50']",dg11.tpf,SAA,50,10,3,20,50,1,52,121,8,3,1,2.122448979591837,3,1,2.183673469387755,0.2,55.769230769230774,124,62,2100,85.98075253927327,0.009973287582397461
40,"['50', '10', '3', '20', '50']",dg11.tpf,HS,50,10,3,20,50,1,52,121,8,3,1,2.122448979591837,3,1,2.183673469387755,0.2,55.769230769230774,124,62,1544,85.98075253927327,0.0050237178802490234
41,"['50', '10', '3', '20', '50']",dg11.tpf,RS,50,10,3,20,50,1,52,121,8,3,1,2.122448979591837,3,1,2.183673469387755,0.2,55.769230769230774,124,53,4731,85.98075244062875,0.02692866325378418
42,"['50', '10', '3', '20', '50']",dg110.tpf,SAA,50,10,3,20,50,1,52,120,8,3,1,2.142857142857143,3,1,2.183673469387755,0.2,34.61538461538461,124,62,1797,145.88288956152326,0.011974096298217773
43,"['50', '10', '3', '20', '50']",dg110.tpf,HS,50,10,3,20,50,1,52,120,8,3,1,2.142857142857143,3,1,2.183673469387755,0.2,34.61538461538461,124,62,1116,145.88288956152326,0.004023313522338867
44,"['50', '10', '3', '20', '50']",dg110.tpf,RS,50,10,3,20,50,1,52,120,8,3,1,2.142857142857143,3,1,2.183673469387755,0.2,34.61538461538461,124,62,2627,145.88288956152326,0.01795220375061035
45,"['50', '10', '3', '20', '50']",dg111.tpf,SAA,50,10,3,20,50,1,52,121,7,3,1,2.142857142857143,3,1,2.2244897959183674,0.2,42.30769230769231,120,60,1354,121.83745965094613,0.006944894790649414
46,"['50', '10', '3', '20', '50']",dg111.tpf,HS,50,10,3,20,50,1,52,121,7,3,1,2.142857142857143,3,1,2.2244897959183674,0.2,42.30769230769231,120,60,973,121.83745965094613,0.0029921531677246094
47,"['50', '10', '3', '20', '50']",dg111.tpf,RS,50,10,3,20,50,1,52,121,7,3,1,2.142857142857143,3,1,2.2244897959183674,0.2,42.30769230769231,120,60,4629,121.83745965094613,0.02093815803527832
48,"['50', '10', '3', '20', '50']",dg112.tpf,SAA,50,10,3,20,50,1,52,121,8,3,1,2.183673469387755,3,1,2.163265306122449,0.2,38.46153846153847,112,56,1895,106.86657633001782,0.007979631423950195
49,"['50', '10', '3', '20', '50']",dg112.tpf,HS,50,10,3,20,50,1,52,121,8,3,1,2.183673469387755,3,1,2.163265306122449,0.2,38.46153846153847,112,56,1485,106.86657633001782,0.004981040954589844
50,"['50', '10', '3', '20', '50']",dg112.tpf,RS,50,10,3,20,50,1,52,121,8,3,1,2.183673469387755,3,1,2.163265306122449,0.2,38.46153846153847,112,52,4593,106.86657633001782,0.02593374252319336
51,"['50', '10', '3', '20', '50']",dg113.tpf,SAA,50,10,3,20,50,1,52,117,8,3,1,2.1020408163265305,3,1,2.0816326530612246,0.2,50.0,118,59,2348,39.386952626486774,0.012999773025512695
52,"['50', '10', '3', '20', '50']",dg113.tpf,HS,50,10,3,20,50,1,52,117,8,3,1,2.1020408163265305,3,1,2.0816326530612246,0.2,50.0,118,59,1615,39.386952626486774,0.004988431930541992
53,"['50', '10', '3', '20', '50']",dg113.tpf,RS,50,10,3,20,50,1,52,117,8,3,1,2.1020408163265305,3,1,2.0816326530612246,0.2,50.0,118,59,10797,39.386952626486774,0.0747983455657959
54,"['50', '10', '3', '20', '50']",dg114.tpf,SAA,50,10,3,20,50,1,52,125,7,3,1,2.204081632653061,3,1,2.2653061224489797,0.2,50.0,120,60,1279,85.11333166112371,0.00797891616821289
55,"['50', '10', '3', '20', '50']",dg114.tpf,HS,50,10,3,20,50,1,52,125,7,3,1,2.204081632653061,3,1,2.2653061224489797,0.2,50.0,120,60,935,85.11333166112371,0.0029942989349365234
56,"['50', '10', '3', '20', '50']",dg114.tpf,RS,50,10,3,20,50,1,52,125,7,3,1,2.204081632653061,3,1,2.2653061224489797,0.2,50.0,120,60,10180,83.07366209886936,0.05983781814575195
57,"['50', '10', '3', '20', '50']",dg115.tpf,SAA,50,10,3,20,50,1,52,122,8,3,1,2.142857142857143,3,1,2.142857142857143,0.2,50.0,110,55,1058,132.64857905986074,0.003986835479736328
58,"['50', '10', '3', '20', '50']",dg115.tpf,HS,50,10,3,20,50,1,52,122,8,3,1,2.142857142857143,3,1,2.142857142857143,0.2,50.0,110,55,846,132.64857905986074,0.003989219665527344
59,"['50', '10', '3', '20', '50']",dg115.tpf,RS,50,10,3,20,50,1,52,122,8,3,1,2.142857142857143,3,1,2.142857142857143,0.2,50.0,110,53,3927,132.64857905986074,0.024898529052734375
60,"['50', '10', '3', '20', '50']",dg116.tpf,SAA,50,10,3,20,50,1,52,125,8,3,1,2.204081632653061,3,1,2.2448979591836733,0.2,42.30769230769231,104,52,2004,60.34719891424305,0.013002634048461914
61,"['50', '10', '3', '20', '50']",dg116.tpf,HS,50,10,3,20,50,1,52,125,8,3,1,2.204081632653061,3,1,2.2448979591836733,0.2,42.30769230769231,104,52,1407,60.34719891424305,0.005023956298828125
62,"['50', '10', '3', '20', '50']",dg116.tpf,RS,50,10,3,20,50,1,52,125,8,3,1,2.204081632653061,3,1,2.2448979591836733,0.2,42.30769230769231,104,52,4633,60.34719891424305,0.031907081604003906
63,"['50', '10', '3', '20', '50']",dg117.tpf,SAA,50,10,3,20,50,1,52,123,8,3,1,2.163265306122449,3,1,2.2244897959183674,0.2,46.15384615384615,126,63,1887,58.78798857638629,0.008974790573120117
64,"['50', '10', '3', '20', '50']",dg117.tpf,HS,50,10,3,20,50,1,52,123,8,3,1,2.163265306122449,3,1,2.2244897959183674,0.2,46.15384615384615,126,63,1334,58.78798857638629,0.004986286163330078
65,"['50', '10', '3', '20', '50']",dg117.tpf,RS,50,10,3,20,50,1,52,123,8,3,1,2.163265306122449,3,1,2.2244897959183674,0.2,46.15384615384615,126,63,9182,58.78798857638629,0.044881343841552734
66,"['50', '10', '3', '20', '50']",dg118.tpf,SAA,50,10,3,20,50,1,52,122,7,3,1,2.122448979591837,3,1,2.2653061224489797,0.2,36.53846153846153,108,54,1585,112.56092339162079,0.010002613067626953
67,"['50', '10', '3', '20', '50']",dg118.tpf,HS,50,10,3,20,50,1,52,122,7,3,1,2.122448979591837,3,1,2.2653061224489797,0.2,36.53846153846153,108,54,1079,112.56092339162079,0.0040280818939208984
68,"['50', '10', '3', '20', '50']",dg118.tpf,RS,50,10,3,20,50,1,52,122,7,3,1,2.122448979591837,3,1,2.2653061224489797,0.2,36.53846153846153,108,54,4097,112.56092339162079,0.025929927825927734
69,"['50', '10', '3', '20', '50']",dg119.tpf,SAA,50,10,3,20,50,1,52,123,8,3,1,2.204081632653061,3,1,2.2448979591836733,0.2,50.0,108,54,2329,43.17902150694822,0.010935068130493164
70,"['50', '10', '3', '20', '50']",dg119.tpf,HS,50,10,3,20,50,1,52,123,8,3,1,2.204081632653061,3,1,2.2448979591836733,0.2,50.0,108,54,1646,43.17902150694822,0.0059833526611328125
71,"['50', '10', '3', '20', '50']",dg119.tpf,RS,50,10,3,20,50,1,52,123,8,3,1,2.204081632653061,3,1,2.2448979591836733,0.2,50.0,108,54,4371,43.17902150694822,0.020908355712890625
72,"['50', '10', '3', '20', '50']",dg12.tpf,SAA,50,10,3,20,50,1,52,118,9,3,1,2.122448979591837,3,1,2.0408163265306123,0.2,50.0,104,52,2570,97.43468425022408,0.01296687126159668
73,"['50', '10', '3', '20', '50']",dg12.tpf,HS,50,10,3,20,50,1,52,118,9,3,1,2.122448979591837,3,1,2.0408163265306123,0.2,50.0,104,52,1894,97.43468425022408,0.009974002838134766
74,"['50', '10', '3', '20', '50']",dg12.tpf,RS,50,10,3,20,50,1,52,118,9,3,1,2.122448979591837,3,1,2.0408163265306123,0.2,50.0,104,44,5225,97.43468425022408,0.030954599380493164
75,"['50', '10', '3', '20', '50']",dg120.tpf,SAA,50,10,3,20,50,1,52,121,8,3,1,2.183673469387755,3,1,2.122448979591837,0.2,53.84615384615385,130,65,1511,97.53866830178889,0.007978200912475586
76,"['50', '10', '3', '20', '50']",dg120.tpf,HS,50,10,3,20,50,1,52,121,8,3,1,2.183673469387755,3,1,2.122448979591837,0.2,53.84615384615385,130,65,1171,97.53866830178889,0.005984783172607422
77,"['50', '10', '3', '20', '50']",dg120.tpf,RS,50,10,3,20,50,1,52,121,8,3,1,2.183673469387755,3,1,2.122448979591837,0.2,53.84615384615385,130,62,5475,97.53866830178889,0.043883323669433594
78,"['50', '10', '3', '20', '50']",dg121.tpf,SAA,50,10,3,20,50,1,52,123,7,3,1,2.204081632653061,3,1,2.2244897959183674,0.2,46.15384615384615,116,58,1507,93.51606591153177,0.012967824935913086
79,"['50', '10', '3', '20', '50']",dg121.tpf,HS,50,10,3,20,50,1,52,123,7,3,1,2.204081632653061,3,1,2.2244897959183674,0.2,46.15384615384615,116,58,1051,93.51606591153177,0.004986286163330078
80,"['50', '10', '3', '20', '50']",dg121.tpf,RS,50,10,3,20,50,1,52,123,7,3,1,2.204081632653061,3,1,2.2244897959183674,0.2,46.15384615384615,116,50,3804,93.51606591153177,0.020944595336914062
81,"['50', '10', '3', '20', '50']",dg122.tpf,SAA,50,10,3,20,50,1,52,121,8,3,1,2.163265306122449,3,1,2.204081632653061,0.2,63.46153846153846,118,59,1922,22.675084149361517,0.00797891616821289
82,"['50', '10', '3', '20', '50']",dg122.tpf,HS,50,10,3,20,50,1,52,121,8,3,1,2.163265306122449,3,1,2.204081632653061,0.2,63.46153846153846,118,59,1714,22.675084149361517,0.004987001419067383
83,"['50', '10', '3', '20', '50']",dg122.tpf,RS,50,10,3,20,50,1,52,121,8,3,1,2.163265306122449,3,1,2.204081632653061,0.2,63.46153846153846,118,59,9964,22.675084149361517,0.05880475044250488
84,"['50', '10', '3', '20', '50']",dg123.tpf,SAA,50,10,3,20,50,1,52,121,7,3,1,2.122448979591837,3,1,2.163265306122449,0.2,53.84615384615385,106,53,1266,112.00039456911963,0.006979465484619141
85,"['50', '10', '3', '20', '50']",dg123.tpf,HS,50,10,3,20,50,1,52,121,7,3,1,2.122448979591837,3,1,2.163265306122449,0.2,53.84615384615385,106,53,958,112.00039456911963,0.003953218460083008
86,"['50', '10', '3', '20', '50']",dg123.tpf,RS,50,10,3,20,50,1,52,121,7,3,1,2.122448979591837,3,1,2.163265306122449,0.2,53.84615384615385,106,53,6159,112.00039456911963,0.02991771697998047
87,"['50', '10', '3', '20', '50']",dg124.tpf,SAA,50,10,3,20,50,1,52,120,7,3,1,2.122448979591837,3,1,2.1020408163265305,0.2,36.53846153846153,108,54,1201,175.76404461107276,0.009013891220092773
88,"['50', '10', '3', '20', '50']",dg124.tpf,HS,50,10,3,20,50,1,52,120,7,3,1,2.122448979591837,3,1,2.1020408163265305,0.2,36.53846153846153,108,54,827,175.76404461107276,0.003989458084106445
89,"['50', '10', '3', '20', '50']",dg124.tpf,RS,50,10,3,20,50,1,52,120,7,3,1,2.122448979591837,3,1,2.1020408163265305,0.2,36.53846153846153,108,54,2135,175.76404461107276,0.010936498641967773
90,"['50', '10', '3', '20', '50']",dg125.tpf,SAA,50,10,3,20,50,1,52,118,9,3,1,2.1020408163265305,3,1,2.163265306122449,0.2,48.07692307692308,144,72,1605,99.6931704667984,0.006983041763305664
91,"['50', '10', '3', '20', '50']",dg125.tpf,HS,50,10,3,20,50,1,52,118,9,3,1,2.1020408163265305,3,1,2.163265306122449,0.2,48.07692307692308,144,72,1250,99.6931704667984,0.005023002624511719
92,"['50', '10', '3', '20', '50']",dg125.tpf,RS,50,10,3,20,50,1,52,118,9,3,1,2.1020408163265305,3,1,2.163265306122449,0.2,48.07692307692308,144,72,10158,99.6931704667984,0.0637969970703125
93,"['50', '10', '3', '20', '50']",dg126.tpf,SAA,50,10,3,20,50,1,52,119,9,3,1,2.142857142857143,3,1,2.183673469387755,0.2,34.61538461538461,136,68,1304,141.35145026075318,0.005981922149658203
94,"['50', '10', '3', '20', '50']",dg126.tpf,HS,50,10,3,20,50,1,52,119,9,3,1,2.142857142857143,3,1,2.183673469387755,0.2,34.61538461538461,136,68,907,141.35145026075318,0.0029921531677246094
95,"['50', '10', '3', '20', '50']",dg126.tpf,RS,50,10,3,20,50,1,52,119,9,3,1,2.142857142857143,3,1,2.183673469387755,0.2,34.61538461538461,136,68,3406,141.35145026075318,0.015956878662109375
96,"['50', '10', '3', '20', '50']",dg127.tpf,SAA,50,10,3,20,50,1,52,121,8,3,1,2.142857142857143,3,1,2.2244897959183674,0.2,34.61538461538461,128,64,1938,63.975949980085666,0.009937047958374023
97,"['50', '10', '3', '20', '50']",dg127.tpf,HS,50,10,3,20,50,1,52,121,8,3,1,2.142857142857143,3,1,2.2244897959183674,0.2,34.61538461538461,128,64,1157,63.975949980085666,0.005948066711425781
98,"['50', '10', '3', '20', '50']",dg127.tpf,RS,50,10,3,20,50,1,52,121,8,3,1,2.142857142857143,3,1,2.2244897959183674,0.2,34.61538461538461,128,64,1492,63.975949980085666,0.00897669792175293
99,"['50', '10', '3', '20', '50']",dg128.tpf,SAA,50,10,3,20,50,1,52,116,8,3,1,2.061224489795918,3,1,2.122448979591837,0.2,48.07692307692308,132,66,1483,94.83317762691553,0.011008739471435547
100,"['50', '10', '3', '20', '50']",dg128.tpf,HS,50,10,3,20,50,1,52,116,8,3,1,2.061224489795918,3,1,2.122448979591837,0.2,48.07692307692308,132,66,1041,94.83317762691553,0.003988981246948242
101,"['50', '10', '3', '20', '50']",dg128.tpf,RS,50,10,3,20,50,1,52,116,8,3,1,2.061224489795918,3,1,2.122448979591837,0.2,48.07692307692308,132,63,5662,94.8331775594674,0.03191423416137695
102,"['50', '10', '3', '20', '50']",dg129.tpf,SAA,50,10,3,20,50,1,52,127,7,3,1,2.142857142857143,3,1,2.2448979591836733,0.2,48.07692307692308,104,52,1474,156.60448244694868,0.007978677749633789
103,"['50', '10', '3', '20', '50']",dg129.tpf,HS,50,10,3,20,50,1,52,127,7,3,1,2.142857142857143,3,1,2.2448979591836733,0.2,48.07692307692308,104,52,1085,156.60448244694868,0.005982398986816406
104,"['50', '10', '3', '20', '50']",dg129.tpf,RS,50,10,3,20,50,1,52,127,7,3,1,2.142857142857143,3,1,2.2448979591836733,0.2,48.07692307692308,104,52,3399,156.60448244694868,0.020908117294311523
105,"['50', '10', '3', '20', '50']",dg13.tpf,SAA,50,10,3,20,50,1,52,121,7,3,1,2.122448979591837,3,1,2.142857142857143,0.2,57.692307692307686,108,54,1643,23.804107461721227,0.008009910583496094
106,"['50', '10', '3', '20', '50']",dg13.tpf,HS,50,10,3,20,50,1,52,121,7,3,1,2.122448979591837,3,1,2.142857142857143,0.2,57.692307692307686,108,54,1273,23.804107461721227,0.006971120834350586
107,"['50', '10', '3', '20', '50']",dg13.tpf,RS,50,10,3,20,50,1,52,121,7,3,1,2.122448979591837,3,1,2.142857142857143,0.2,57.692307692307686,108,48,2690,23.518467296948266,0.015921831130981445
108,"['50', '10', '3', '20', '50']",dg130.tpf,SAA,50,10,3,20,50,1,52,122,7,3,1,2.163265306122449,3,1,2.204081632653061,0.2,50.0,110,55,1923,101.50398382075616,0.007979154586791992
109,"['50', '10', '3', '20', '50']",dg130.tpf,HS,50,10,3,20,50,1,52,122,7,3,1,2.163265306122449,3,1,2.204081632653061,0.2,50.0,110,55,1492,101.50398382075616,0.005022764205932617
110,"['50', '10', '3', '20', '50']",dg130.tpf,RS,50,10,3,20,50,1,52,122,7,3,1,2.163265306122449,3,1,2.204081632653061,0.2,50.0,110,55,6703,101.50398382075616,0.03494429588317871
111,"['50', '10', '3', '20', '50']",dg131.tpf,SAA,50,10,3,20,50,1,52,121,7,3,1,2.122448979591837,3,1,2.163265306122449,0.2,46.15384615384615,108,54,2306,123.06323202647431,0.017949819564819336
112,"['50', '10', '3', '20', '50']",dg131.tpf,HS,50,10,3,20,50,1,52,121,7,3,1,2.122448979591837,3,1,2.163265306122449,0.2,46.15384615384615,108,54,1419,123.06323202647431,0.008974552154541016
113,"['50', '10', '3', '20', '50']",dg131.tpf,RS,50,10,3,20,50,1,52,121,7,3,1,2.122448979591837,3,1,2.163265306122449,0.2,46.15384615384615,108,54,3162,123.06323202647431,0.01592087745666504
114,"['50', '10', '3', '20', '50']",dg132.tpf,SAA,50,10,3,20,50,1,52,120,8,3,1,2.142857142857143,3,1,2.142857142857143,0.2,46.15384615384615,116,58,1385,96.3151972180671,0.00794219970703125
115,"['50', '10', '3', '20', '50']",dg132.tpf,HS,50,10,3,20,50,1,52,120,8,3,1,2.142857142857143,3,1,2.142857142857143,0.2,46.15384615384615,116,58,864,96.3151972180671,0.0029969215393066406
116,"['50', '10', '3', '20', '50']",dg132.tpf,RS,50,10,3,20,50,1,52,120,8,3,1,2.142857142857143,3,1,2.142857142857143,0.2,46.15384615384615,116,58,1324,96.3151972180671,0.00797724723815918
117,"['50', '10', '3', '20', '50']",dg133.tpf,SAA,50,10,3,20,50,1,52,122,8,3,1,2.1020408163265305,3,1,2.2244897959183674,0.2,55.769230769230774,108,54,1882,25.754482381604944,0.009937524795532227
118,"['50', '10', '3', '20', '50']",dg133.tpf,HS,50,10,3,20,50,1,52,122,8,3,1,2.1020408163265305,3,1,2.2244897959183674,0.2,55.769230769230774,108,54,1549,25.754482381604944,0.004951000213623047
119,"['50', '10', '3', '20', '50']",dg133.tpf,RS,50,10,3,20,50,1,52,122,8,3,1,2.1020408163265305,3,1,2.2244897959183674,0.2,55.769230769230774,108,54,7599,25.754482381604944,0.041925907135009766
120,"['50', '10', '3', '20', '50']",dg134.tpf,SAA,50,10,3,20,50,1,52,121,8,3,1,2.183673469387755,3,1,2.142857142857143,0.2,48.07692307692308,130,65,1113,113.6135984027947,0.005991220474243164
121,"['50', '10', '3', '20', '50']",dg134.tpf,HS,50,10,3,20,50,1,52,121,8,3,1,2.183673469387755,3,1,2.142857142857143,0.2,48.07692307692308,130,65,868,113.6135984027947,0.004987001419067383
122,"['50', '10', '3', '20', '50']",dg134.tpf,RS,50,10,3,20,50,1,52,121,8,3,1,2.183673469387755,3,1,2.142857142857143,0.2,48.07692307692308,130,63,3966,113.6135984027947,0.020977020263671875
123,"['50', '10', '3', '20', '50']",dg135.tpf,SAA,50,10,3,20,50,1,52,122,7,3,1,2.122448979591837,3,1,2.204081632653061,0.2,44.230769230769226,146,73,1674,79.95077033688342,0.010969400405883789
124,"['50', '10', '3', '20', '50']",dg135.tpf,HS,50,10,3,20,50,1,52,122,7,3,1,2.122448979591837,3,1,2.204081632653061,0.2,44.230769230769226,146,73,1264,79.95077033688342,0.006945371627807617
125,"['50', '10', '3', '20', '50']",dg135.tpf,RS,50,10,3,20,50,1,52,122,7,3,1,2.122448979591837,3,1,2.204081632653061,0.2,44.230769230769226,146,63,2827,79.95077033688342,0.01795220375061035
126,"['50', '10', '3', '20', '50']",dg136.tpf,SAA,50,10,3,20,50,1,52,117,8,3,1,2.0,3,1,2.1020408163265305,0.2,48.07692307692308,110,55,917,68.15199001157511,0.005982160568237305
127,"['50', '10', '3', '20', '50']",dg136.tpf,HS,50,10,3,20,50,1,52,117,8,3,1,2.0,3,1,2.1020408163265305,0.2,48.07692307692308,110,55,698,68.15199001157511,0.00299072265625
